date,volume
12/12/1980,469033600
15-12-1980,175884800
16-12-1980,105728000
17-12-1980,86441600
18-12-1980,73449600
19-12-1980,48630400
22-12-1980,37363200
23-12-1980,46950400
24-12-1980,48003200
26-12-1980,55574400
29-12-1980,93161600
30-12-1980,68880000
31-12-1980,35750400
2/1/1981,21660800
5/1/1981,35728000
6/1/1981,45158400
7/1/1981,55686400
8/1/1981,39827200
9/1/1981,21504000
12/1/1981,23699200
13-01-1981,23049600
14-01-1981,14291200
15-01-1981,14067200
16-01-1981,13395200
19-01-1981,41574400
20-01-1981,30083200
21-01-1981,15904000
22-01-1981,35548800
23-01-1981,11222400
26-01-1981,24640000
27-01-1981,23699200
28-01-1981,28156800
29-01-1981,43904000
30-01-1981,46188800
2/2/1981,23766400
3/2/1981,19152000
4/2/1981,27865600
5/2/1981,7929600
6/2/1981,13865600
9/2/1981,16755200
10/2/1981,18345600
11/2/1981,13843200
12/2/1981,14560000
13-02-1981,11155200
17-02-1981,12275200
18-02-1981,19241600
19-02-1981,22310400
20-02-1981,24371200
23-02-1981,14112000
24-02-1981,16979200
25-02-1981,19488000
26-02-1981,10841600
27-02-1981,14761600
2/3/1981,11760000
3/3/1981,16172800
4/3/1981,13708800
5/3/1981,5376000
6/3/1981,11603200
9/3/1981,15321600
10/3/1981,28380800
11/3/1981,29859200
12/3/1981,59248000
13-03-1981,231302400
16-03-1981,37228800
17-03-1981,43747200
18-03-1981,36937600
19-03-1981,37811200
20-03-1981,14604800
23-03-1981,22019200
24-03-1981,28156800
25-03-1981,7056000
26-03-1981,12275200
27-03-1981,12252800
30-03-1981,9900800
31-03-1981,15993600
1/4/1981,34070400
2/4/1981,31404800
3/4/1981,16486400
6/4/1981,22803200
7/4/1981,10684800
8/4/1981,21952000
9/4/1981,12499200
10/4/1981,33465600
13-04-1981,16060800
14-04-1981,6652800
15-04-1981,34048000
16-04-1981,23878400
20-04-1981,35347200
21-04-1981,28537600
22-04-1981,18995200
23-04-1981,58016000
24-04-1981,35056000
27-04-1981,38528000
28-04-1981,32188800
29-04-1981,13641600
30-04-1981,12611200
1/5/1981,16553600
4/5/1981,14448000
5/5/1981,17539200
6/5/1981,18950400
7/5/1981,9363200
8/5/1981,7907200
11/5/1981,11939200
12/5/1981,4256000
13-05-1981,4905600
14-05-1981,4928000
15-05-1981,4905600
18-05-1981,4166400
19-05-1981,25424000
20-05-1981,13283200
21-05-1981,32211200
22-05-1981,31427200
26-05-1981,85344000
27-05-1981,149497600
28-05-1981,73987200
29-05-1981,59382400
1/6/1981,51251200
2/6/1981,40432000
3/6/1981,39446400
4/6/1981,56067200
5/6/1981,57680000
8/6/1981,93497600
9/6/1981,119593600
10/6/1981,25222400
11/6/1981,38976000
12/6/1981,25804800
15-06-1981,143763200
16-06-1981,37251200
17-06-1981,27574400
18-06-1981,23049600
19-06-1981,27507200
22-06-1981,10841600
23-06-1981,15030400
24-06-1981,23027200
25-06-1981,24259200
26-06-1981,23788800
29-06-1981,10595200
30-06-1981,35907200
1/7/1981,170464000
2/7/1981,30284800
6/7/1981,16531200
7/7/1981,15836800
8/7/1981,16620800
9/7/1981,32883200
10/7/1981,55171200
13-07-1981,45740800
14-07-1981,19779200
15-07-1981,10953600
16-07-1981,15232000
17-07-1981,19824000
20-07-1981,23654400
21-07-1981,31942400
22-07-1981,22668800
23-07-1981,34451200
24-07-1981,28851200
27-07-1981,17337600
28-07-1981,22848000
29-07-1981,15500800
30-07-1981,9900800
31-07-1981,10953600
3/8/1981,12432000
4/8/1981,31673600
5/8/1981,17494400
6/8/1981,10528000
7/8/1981,9206400
11/8/1981,71456000
12/8/1981,26275200
13-08-1981,27484800
14-08-1981,24192000
17-08-1981,18905600
18-08-1981,17001600
19-08-1981,20675200
20-08-1981,17113600
21-08-1981,41910400
24-08-1981,23072000
25-08-1981,40700800
26-08-1981,33600000
27-08-1981,25916800
28-08-1981,38035200
31-08-1981,40947200
1/9/1981,37027200
2/9/1981,19376000
3/9/1981,37475200
4/9/1981,15254400
8/9/1981,25446400
9/9/1981,30531200
10/9/1981,34809600
11/9/1981,17539200
14-09-1981,27686400
15-09-1981,19510400
16-09-1981,19353600
17-09-1981,19376000
18-09-1981,26320000
21-09-1981,49033600
22-09-1981,47420800
23-09-1981,28201600
24-09-1981,18300800
25-09-1981,34608000
28-09-1981,91728000
29-09-1981,94684800
30-09-1981,49996800
1/10/1981,61129600
2/10/1981,45046400
5/10/1981,43097600
6/10/1981,28358400
7/10/1981,38841600
8/10/1981,31091200
9/10/1981,54521600
12/10/1981,27350400
13-10-1981,44195200
14-10-1981,30979200
15-10-1981,29433600
16-10-1981,36467200
19-10-1981,20585600
20-10-1981,35728000
21-10-1981,76899200
22-10-1981,32278400
23-10-1981,27910400
26-10-1981,27283200
27-10-1981,85590400
28-10-1981,44172800
29-10-1981,30486400
30-10-1981,52729600
2/11/1981,36915200
3/11/1981,28380800
4/11/1981,23811200
5/11/1981,23363200
6/11/1981,24595200
9/11/1981,20384000
10/11/1981,16755200
11/11/1981,27440000
12/11/1981,39916800
13-11-1981,21011200
16-11-1981,22556800
17-11-1981,35414400
18-11-1981,29142400
19-11-1981,40006400
20-11-1981,38102400
23-11-1981,22960000
24-11-1981,22153600
25-11-1981,52550400
27-11-1981,37251200
30-11-1981,23968000
1/12/1981,23385600
2/12/1981,37564800
3/12/1981,20428800
4/12/1981,137155200
7/12/1981,59292800
8/12/1981,50624000
9/12/1981,34272000
10/12/1981,37408000
11/12/1981,76092800
14-12-1981,25244800
15-12-1981,31315200
16-12-1981,65452800
17-12-1981,51452800
18-12-1981,71724800
21-12-1981,56403200
22-12-1981,53827200
23-12-1981,28896000
24-12-1981,28918400
28-12-1981,36579200
29-12-1981,24236800
30-12-1981,32188800
31-12-1981,54656000
4/1/1982,71254400
5/1/1982,35840000
6/1/1982,66080000
7/1/1982,70044800
8/1/1982,56604800
11/1/1982,33331200
12/1/1982,59920000
13-01-1982,41753600
14-01-1982,25715200
15-01-1982,46704000
18-01-1982,28000000
19-01-1982,55507200
20-01-1982,25827200
21-01-1982,33331200
22-01-1982,24259200
25-01-1982,44710400
26-01-1982,21212800
27-01-1982,31360000
28-01-1982,39603200
29-01-1982,53155200
1/2/1982,38528000
2/2/1982,54275200
3/2/1982,31472000
4/2/1982,22041600
5/2/1982,40297600
8/2/1982,31696000
9/2/1982,57904000
10/2/1982,38796800
11/2/1982,24528000
12/2/1982,19644800
16-02-1982,34316800
17-02-1982,25580800
18-02-1982,28380800
19-02-1982,13596800
22-02-1982,26633600
23-02-1982,34540800
24-02-1982,37945600
25-02-1982,30800000
26-02-1982,17427200
1/3/1982,35302400
2/3/1982,34809600
3/3/1982,23654400
4/3/1982,38371200
5/3/1982,45315200
8/3/1982,35145600
9/3/1982,52505600
10/3/1982,86934400
11/3/1982,22579200
12/3/1982,46547200
15-03-1982,51363200
16-03-1982,47152000
17-03-1982,50489600
18-03-1982,56336000
19-03-1982,65811200
22-03-1982,69193600
23-03-1982,55955200
24-03-1982,51609600
25-03-1982,84112000
26-03-1982,50780800
29-03-1982,67603200
30-03-1982,77952000
31-03-1982,50153600
1/4/1982,59136000
2/4/1982,84806400
5/4/1982,86643200
6/4/1982,71590400
7/4/1982,29097600
8/4/1982,23990400
12/4/1982,44307200
13-04-1982,85299200
14-04-1982,113590400
15-04-1982,164281600
16-04-1982,104048000
19-04-1982,41283200
20-04-1982,80550400
21-04-1982,73024000
22-04-1982,52595200
23-04-1982,48294400
26-04-1982,57926400
27-04-1982,70268800
28-04-1982,99232000
29-04-1982,82230400
30-04-1982,277401600
3/5/1982,82700800
4/5/1982,73987200
5/5/1982,53939200
6/5/1982,75465600
7/5/1982,84716800
10/5/1982,31606400
11/5/1982,103017600
12/5/1982,71008000
13-05-1982,54454400
14-05-1982,95737600
17-05-1982,76204800
18-05-1982,122035200
19-05-1982,75286400
20-05-1982,27619200
21-05-1982,38841600
24-05-1982,31987200
25-05-1982,51564800
26-05-1982,43276800
27-05-1982,31248000
28-05-1982,19196800
1/6/1982,47600000
2/6/1982,32905600
3/6/1982,39760000
4/6/1982,37676800
7/6/1982,37161600
8/6/1982,31404800
9/6/1982,33846400
10/6/1982,34406400
11/6/1982,54633600
14-06-1982,29993600
15-06-1982,35212800
16-06-1982,41731200
17-06-1982,29164800
18-06-1982,19868800
21-06-1982,28537600
22-06-1982,17561600
23-06-1982,52752000
24-06-1982,44150400
25-06-1982,26678400
28-06-1982,25155200
29-06-1982,35817600
30-06-1982,67625600
1/7/1982,55731200
2/7/1982,58105600
6/7/1982,87696000
7/7/1982,30374400
8/7/1982,164326400
9/7/1982,128419200
12/7/1982,63392000
13-07-1982,114374400
14-07-1982,71120000
15-07-1982,65788800
16-07-1982,77011200
19-07-1982,83776000
20-07-1982,49705600
21-07-1982,71702400
22-07-1982,35212800
23-07-1982,18300800
26-07-1982,56851200
27-07-1982,32323200
28-07-1982,53513600
29-07-1982,61868800
30-07-1982,38617600
2/8/1982,94393600
3/8/1982,89868800
4/8/1982,83865600
5/8/1982,69753600
6/8/1982,96835200
9/8/1982,56112000
10/8/1982,112246400
11/8/1982,69888000
12/8/1982,30620800
13-08-1982,25961600
16-08-1982,38416000
17-08-1982,47734400
18-08-1982,125059200
19-08-1982,47622400
20-08-1982,54857600
23-08-1982,69686400
24-08-1982,155769600
25-08-1982,357078400
26-08-1982,210582400
27-08-1982,98649600
30-08-1982,80438400
31-08-1982,140560000
1/9/1982,82566400
2/9/1982,75420800
3/9/1982,104540800
7/9/1982,81379200
8/9/1982,72329600
9/9/1982,63593600
10/9/1982,56067200
13-09-1982,58889600
14-09-1982,101494400
15-09-1982,71747200
16-09-1982,80371200
17-09-1982,54051200
20-09-1982,39132800
21-09-1982,36668800
22-09-1982,103376000
23-09-1982,139820800
24-09-1982,178192000
27-09-1982,38147200
28-09-1982,85523200
29-09-1982,65564800
30-09-1982,74681600
1/10/1982,46256000
4/10/1982,69328000
5/10/1982,80236800
6/10/1982,173532800
7/10/1982,311673600
8/10/1982,275542400
11/10/1982,313734400
12/10/1982,258944000
13-10-1982,198844800
14-10-1982,178662400
15-10-1982,144614400
18-10-1982,94348800
19-10-1982,122841600
20-10-1982,242099200
21-10-1982,227516800
22-10-1982,161683200
25-10-1982,184934400
26-10-1982,167753600
27-10-1982,191161600
28-10-1982,217683200
29-10-1982,118115200
1/11/1982,104361600
2/11/1982,310844800
3/11/1982,235132800
4/11/1982,329078400
5/11/1982,141500800
8/11/1982,119190400
9/11/1982,179782400
10/11/1982,202787200
11/11/1982,123155200
12/11/1982,131107200
15-11-1982,124588800
16-11-1982,182022400
17-11-1982,144144000
18-11-1982,152678400
19-11-1982,97305600
22-11-1982,101248000
23-11-1982,88502400
24-11-1982,73740800
26-11-1982,101987200
29-11-1982,49952000
30-11-1982,159196800
1/12/1982,206841600
2/12/1982,164729600
3/12/1982,47577600
6/12/1982,146585600
7/12/1982,167283200
8/12/1982,112313600
9/12/1982,194656000
10/12/1982,167484800
13-12-1982,95379200
14-12-1982,270054400
15-12-1982,130793600
16-12-1982,141164800
17-12-1982,80729600
20-12-1982,69776000
21-12-1982,79945600
22-12-1982,101225600
23-12-1982,86979200
27-12-1982,61868800
28-12-1982,113366400
29-12-1982,80707200
30-12-1982,156867200
31-12-1982,49660800
3/1/1983,112828800
4/1/1983,223708800
5/1/1983,141545600
6/1/1983,97798400
7/1/1983,172054400
10/1/1983,275340800
